Trigram,Frequency
"('open', 'border', 'policies')",99
"('national', 'guard', 'soldiers')",73
"('referred', 'border', 'patrol')",69
"('biden', 'open', 'border')",67
"('refusal', 'secure', 'border')",52
"('lt', 'chris', 'olivarez')",51
"('abbott', 'national', 'guard')",51
"('interdict', 'transnational', 'criminal')",50
"('prevent', 'detect', 'interdict')",48
"('biden', 'administration', 'refusal')",48
"('secure', 'border', 'stop')",48
"('detect', 'interdict', 'transnational')",48
"('million', 'lethal', 'doses')",48
"('transnational', 'criminal', 'behavior')",48
"('smuggling', 'drugs', 'weapons')",47
