Trigram,Frequency
"('Operation', 'Lone', 'Star')",71
"('Gov', 'GregAbbott_TX', 's')",48
"('s', 'Operation', 'Lone')",28
"('GregAbbott_TX', 's', 'OperationLoneStar')",25
"('GregAbbott_TX', 's', 'Operation')",23
"('smuggling', 'people', 'drugs')",14
"('part', 'Gov', 'GregAbbott_TX')",13
"('people', 'drugs', 'Texas')",10
"('part', 'Operation', 'Lone')",10
"('mission', 'Gov', 'GregAbbott_TX')",10
"('combat', 'smuggling', 'people')",10
"('DPS', 'continues', 'work')",8
"('work', 'secure', 'border')",7
"('secure', 'border', 'protect')",7
"('law', 'enforcement', 'partners')",7
