Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
WTB6YVCA,blogPost,2021,Texans for Abbott,'Operation Lone Star Has Seized Thousands of Pounds of Narcotics as Border Crisis Persists' Texas continues to step up to face the unprecedented crisis at our border & keep our communities safe. https://t.co/0rt0wwROsc,@AbbottCampaign,,,,https://twitter.com/AbbottCampaign/status/1432357041276915719,,8/30/2021,3/22/2022 20:20,3/22/2022 20:20,3/22/2022 20:20,,,,,,,,,,,,,,en,,Tweet,,,,,,,,https://t.co/0rt0wwROsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZSXWWKD,blogPost,2021,Texans for Abbott,"Since launching Operation Lone Star, @TxDPS & @TexasGuard has: ➡️ Arrested over 600 criminals ➡️ Referred over 26K illegal immigrants to @CBP ➡️ Arrested 9 gang members @GregAbbott_TX is responding to the #BidenBorderCrisis. Biden is not.",@AbbottCampaign,,,,https://twitter.com/AbbottCampaign/status/1387954681943576578,,4/30/2021,3/22/2022 20:20,3/22/2022 20:20,3/22/2022 20:20,,,,,,,,,,,,,,en,,Tweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3293RSR,blogPost,2021,Texans for Abbott,"Since Operation Lone Star began @TxDPS has made: ➡️ 598 criminal arrests ➡️ 16K referrals of illegal immigrants to Border Patrol Operation Lone Star is keeping our communities safe, but it’s also exposing the Biden Admin.‘s FAILURE to secure the border. http://bit.ly/31Cp2M3 https://t.co/FyuYWcFUGU",@AbbottCampaign,,,,https://twitter.com/AbbottCampaign/status/1377719672754335750,,4/1/2021,3/22/2022 20:20,3/22/2022 20:20,3/22/2022 20:20,,,,,,,,,,,,,,en,,Tweet,,,,,,,; ,http://bit.ly/31Cp2M3; https://t.co/FyuYWcFUGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWMCAP2Q,blogPost,2021,Texans for Abbott,"Today @GregAbbott_TX announced the expansion of Operation Lone Star to combat human trafficking of unaccompanied minors crossing the border. Without a clear plan from the Biden Administration, Texas is stepping up to crack down on this heinous crime. http://bit.ly/3twAdBH https://t.co/8WatoaICw9",@AbbottCampaign,,,,https://twitter.com/AbbottCampaign/status/1372279130125967361,,3/17/2021,3/22/2022 20:20,3/22/2022 20:20,3/22/2022 20:20,,,,,,,,,,,,,,en,,Tweet,,,,,,,; ,http://bit.ly/3twAdBH; https://t.co/8WatoaICw9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCMMSZ3,forumPost,2023,Texans for Abbott [@AbbottCampaign],"Texas has done more than ANY state in history to secure the border. While Biden is missing in action, Governor @GregAbbott_TX is leading #OperationLoneStar to stop drugs, weapons, & illegal immigrants from entering Texas. https://t.co/Ws1uBwVXyK",Twitter,,,,https://twitter.com/AbbottCampaign/status/1629969935664312328,,2/26/2023,3/21/2023 19:21,3/21/2023 19:21,3/21/2023 19:21,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\XENZ5Q3G\1629969935664312328.html,https://t.co/Ws1uBwVXyK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73YWM9TM,forumPost,2023,Texans for Abbott [@AbbottCampaign],"NEW: Governor @GregAbbott_TX’s #OperationLoneStar apprehends over 350,000 illegal immigrants. Read more here: https://t.co/DXKifULpHy",Twitter,,,,https://twitter.com/AbbottCampaign/status/1626998686336032772,,2/18/2023,3/21/2023 19:22,3/21/2023 19:22,3/21/2023 19:22,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\7MGMK2FJ\1626998686336032772.html,https://t.co/DXKifULpHy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5YZD2J6,forumPost,2023,Texans for Abbott [@AbbottCampaign],Governor @GregAbbott_TX launched #OperationLoneStar to fill the gaps left by Biden's open border policies. @TexasBorderCzar Mike Banks will help Texas get the job done. 💪,Twitter,,,,https://twitter.com/AbbottCampaign/status/1626393502983520257,,2/17/2023,3/21/2023 19:22,3/21/2023 19:22,3/21/2023 19:22,,,,,,,,,,,,,,en,,Tweet,,,,,,,C:\Users\bhjon\Zotero\storage\94X7QBY9\1626393502983520257.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3WPWM94L,forumPost,2023,Texans for Abbott [@AbbottCampaign],"Biden's open border policies have deadly consequences. #OperationLoneStar has seized more than 361 MILLION deadly doses of fentanyl at our southern border. Under Governor @GregAbbott_TX, Texas is leading the fight against the fentanyl crisis.",Twitter,,,,https://twitter.com/AbbottCampaign/status/1625261938602115073,,2/13/2023,3/21/2023 19:22,3/21/2023 19:22,3/21/2023 19:22,,,,,,,,,,,,,,en,,Tweet,,,,,,,C:\Users\bhjon\Zotero\storage\Q62WCAYU\1625261938602115073.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKHWKT5X,forumPost,2023,Texans for Abbott [@AbbottCampaign],"While Biden does nothing to secure the border, Governor @GregAbbott_TX's #OperationLoneStar is keeping Texans safe. Americans are waking up to the realities of Biden's open border policies. https://t.co/MEyEGm9pOd",Twitter,,,,https://twitter.com/AbbottCampaign/status/1620840515645370368,,2/1/2023,3/21/2023 19:22,3/21/2023 19:22,3/21/2023 19:22,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\CYIDDIMY\1620840515645370368.html,https://t.co/MEyEGm9pOd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUHF9SHL,forumPost,2023,Texans for Abbott [@AbbottCampaign],"Governor @GregAbbott_TX’s #OperationLoneStar is protecting Texans from Biden’s open border policies: ▪️ Over 23,000 criminal arrests made ▪️ Over 356 million deadly fentanyl doses seized ▪️ Over 16,600 migrants bused to sanctuary cities https://t.co/jVaEQg3tfI",Twitter,,,,https://twitter.com/AbbottCampaign/status/1614320584342790144,,1/14/2023,3/21/2023 19:23,3/21/2023 19:23,3/21/2023 19:23,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\LAYLPLET\1614320584342790144.html,https://t.co/jVaEQg3tfI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
