"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ISXHVSZA","forumPost","2022","Gov. Greg Abbott [@GovAbbott]","ICYMI: Recent highlights from #OperationLoneStar: ✅ Criminal apprehensions ✅ Cartel members taken down ✅ Illegal drug busts & seizures ✅ Lives of migrants & Texans saved Thank you @TxDPS, @TXMilitary for keeping our communities safe. Details ⬇️ https://t.co/hY2eEfLqkk","Twitter","","","","https://twitter.com/GovAbbott/status/1507379907529170945","","2022-03-25","2022-04-03 12:10:22","2022-04-03 12:10:22","2022-04-03 12:10:22","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/hY2eEfLqkk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AZ2YMJW","forumPost","2022","Gov. Greg Abbott [@GovAbbott]","Today is the one-year anniversary of #OperationLoneStar – an unprecedented, comprehensive mission to address the Biden-made crisis at Texas' southern border. @TxDPS @TxMilitary https://bit.ly/3CbjzND https://t.co/9v5nyABIlH","Twitter","","","","https://twitter.com/GovAbbott/status/1499778092818223107","","2022-03-04","2022-04-03 12:23:52","2022-04-03 12:23:52","2022-04-03 12:23:52","","","","","","","","","","","","","","en","","Tweet","","","","","","","; ","https://bit.ly/3CbjzND; https://t.co/9v5nyABIlH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCAJGNSD","forumPost","2022","Gov. Greg Abbott [@GovAbbott]","“Texans have never backed down from a challenge, & we won't start now, because our efforts are stemming the tide of illegal drugs & criminals flooding into Texas."" – Gov. Abbott Learn more about Operation Lone Star ⬇️ https://bit.ly/3CbjzND","Twitter","","","","https://twitter.com/GovAbbott/status/1499778460520267780","","2022-03-04","2022-04-03 12:24:11","2022-04-03 12:24:11","2022-04-03 12:24:11","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://bit.ly/3CbjzND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WY3BVCY9","forumPost","2021","Gov. Greg Abbott [@GovAbbott]","Awarding an additional $38.4M for #OperationLoneStar to strengthen our response to the border crisis & to keep our communities safe. https://t.co/yzcUpgz2Z3","Twitter","","","","https://twitter.com/GovAbbott/status/1473050780848558082","","2021-12-20","2022-04-03 12:24:28","2022-04-03 12:24:28","2022-04-03 12:24:28","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/yzcUpgz2Z3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZETTBRVL","forumPost","2022","Gov. Greg Abbott [@GovAbbott]","ICYMI: Texas continues to secure the border & crack down on human smuggling through #OperationLoneStar. This multi-agency effort has led to more than 215K migrant apprehension & 12K charges for criminal offenses. @TXDPS @TXMilitary https://t.co/2Qk23P6Y3P","Twitter","","","","https://twitter.com/GovAbbott/status/1504854686087749638","","2022-03-18","2022-04-03 12:25:00","2022-04-03 12:25:00","2022-04-03 12:25:00","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/2Qk23P6Y3P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4JENK6F","forumPost","2022","Gov. Greg Abbott [@GovAbbott]","Hosting a roundtable on border security with top state agency officials, law enforcement, military, & local stakeholders in Weslaco – marking one year since launching #OperationLoneStar to secure our border & keep Texans safe. https://t.co/aFBs8xmjqc","Twitter","","","","https://twitter.com/GovAbbott/status/1502025833229213712","","2022-03-10","2022-04-03 12:25:11","2022-04-03 12:25:11","2022-04-03 12:25:11","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/aFBs8xmjqc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGA2ZDBI","forumPost","2021","Gov. Greg Abbott [@GovAbbott]","ICYMI: Watch this morning’s update on #OperationLoneStar. Thousands of @TXMilitary soldiers and @TxDPS troopers securing our border and keeping Texans safe. https://t.co/b6rdyPm3hn","Twitter","","","","https://twitter.com/GovAbbott/status/1451250128547983374","","2021-10-21","2022-04-03 12:25:32","2022-04-03 12:25:32","2022-04-03 12:25:32","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/b6rdyPm3hn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5W8Y76P","forumPost","2022","Gov. Greg Abbott [@GovAbbott]","Since the launch of #OperationLoneStar, multi-agency efforts have led to 208,000+ migrant apprehensions & 11,800 charges for criminal offenses—including 9,300+ felony charges. And in the fight against fentanyl, DPS has seized over 269 million lethal doses throughout the state.","Twitter","","","","https://twitter.com/GovAbbott/status/1499778459073134592","","2022-03-04","2023-03-21 19:17:15","2023-03-21 19:17:15","2023-03-21 19:17:14","","","","","","","","","","","","","","en","","Tweet","","","","","","","C:\Users\bhjon\Zotero\storage\VB46KLJ5\1499778459073134592.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RGMGHF7","forumPost","2023","Gov. Greg Abbott [@GovAbbott]","This session, we will: Deliver education freedom for all Texans Strengthen #OperationLoneStar Keep the Texas economy #1 in America #txlege https://t.co/oDYHhNiGVN","Twitter","","","","https://twitter.com/GovAbbott/status/1630232844734988288","","2023-02-27","2023-03-21 19:36:57","2023-03-21 19:36:57","2023-03-21 19:36:57","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\bhjon\Zotero\storage\8W47KBQC\1630232844734988288.html","https://t.co/oDYHhNiGVN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCWWLBIC","forumPost","2023","Gov. Greg Abbott [@GovAbbott]","#OperationLoneStar is filling dangerous gaps created by Biden’s open border policies. Working with the Texas Legislature this session, we will expand strategies to secure our border and protect Texans. #txlege Read more: https://t.co/jo0jnPxIj1","Twitter","","","","https://twitter.com/GovAbbott/status/1629203419939459083","","2023-02-24","2023-03-21 19:37:13","2023-03-21 19:37:13","2023-03-21 19:37:13","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\bhjon\Zotero\storage\N4VVD8BB\1629203419939459083.html","https://t.co/jo0jnPxIj1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HCPU7QE","forumPost","2023","Gov. Greg Abbott [@GovAbbott]","Today, @SenatorBirdwell & Rep. @RyanGuillen joined me for an update on #OperationLoneStar from @TXMilitary, @TxDPS, & @TexasBorderCzar. I look forward to working with the Texas Legislature this session to continue Texas’ historic border mission. More: http://bit.ly/221oLS https://t.co/sZRRZT5mjo","Twitter","","","","https://twitter.com/GovAbbott/status/1628199761470799872","","2023-02-22","2023-03-21 19:37:26","2023-03-21 19:37:26","2023-03-21 19:37:26","","","","","","","","","","","","","","en","","Tweet","","","","","","","; ; C:\Users\bhjon\Zotero\storage\W48YCGNT\1628199761470799872.html","http://bit.ly/221oLS; https://t.co/sZRRZT5mjo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNRG63WW","forumPost","2023","Gov. Greg Abbott [@GovAbbott]","Through #OperationLoneStar, Texas is filling gaps created by President Biden’s refusal to secure the border: ▪️ Over 350,000 illegal immigrants apprehended ▪️ Over 24,000 criminal arrests ▪️ Over 362 MILLION deadly fentanyl doses seized Read more ⬇ https://t.co/XWltc00326","Twitter","","","","https://twitter.com/GovAbbott/status/1626683950419542016","","2023-02-17","2023-03-21 19:37:47","2023-03-21 19:37:47","2023-03-21 19:37:47","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\bhjon\Zotero\storage\4GC3EEH8\1626683950419542016.html","https://t.co/XWltc00326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SMMPXBS","forumPost","2023","Gov. Greg Abbott [@GovAbbott]","As President Biden ignores the border crisis, Texas is stopping cartels from smuggling deadly drugs, weapons, & people into our country. #OperationLoneStar has led to over 345,000 illegal immigrant apprehensions and over 24,000 criminal arrests. https://t.co/KPZK43Ztue","Twitter","","","","https://twitter.com/GovAbbott/status/1619078735709495296","","2023-01-27","2023-03-21 19:38:23","2023-03-21 19:38:23","2023-03-21 19:38:23","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\bhjon\Zotero\storage\F4V862RW\1619078735709495296.html","https://t.co/KPZK43Ztue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3ZBLZ6C","forumPost","2023","Gov. Greg Abbott [@GovAbbott]","Through #OperationLoneStar, Texas is responding to our nation’s border crisis caused by President Biden’s reckless open border policies. Thanks to @TxMilitary & @TxDPS, we’re keeping dangerous drugs & criminals out of our communities. More: https://t.co/32pTdS4KNS","Twitter","","","","https://twitter.com/GovAbbott/status/1616591366162628608","","2023-01-21","2023-03-21 19:38:43","2023-03-21 19:38:43","2023-03-21 19:38:43","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\bhjon\Zotero\storage\SJ7C8M7H\1616591366162628608.html","https://t.co/32pTdS4KNS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGFDUWWS","forumPost","2023","Gov. Greg Abbott [@GovAbbott]","As President Biden ignores the border crisis, #OperationLoneStar is expanding in West Texas. @TXMilitary and @TxDPS are working together to stop cartels and criminals from entering our country. More on our unprecedented effort to secure the border: https://t.co/a3VDCC8K0M","Twitter","","","","https://twitter.com/GovAbbott/status/1614028581339910151","","2023-01-13","2023-03-21 19:41:54","2023-03-21 19:41:54","2023-03-21 19:41:54","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\bhjon\Zotero\storage\JH6TP9HP\1614028581339910151.html","https://t.co/a3VDCC8K0M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
