"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9IF7BGLG","blogPost","2022","Greg Abbott","Texas is securing our southern border. Operation Lone Star is keeping communities safe from the influx of illegal drugs & people coming into our state. Now, we’re deploying different strategies to deter illegal immigrants from coming across our border. https://t.co/lGtW8NjZ62","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1504843418450673700","","2022-03-18","2022-03-22 19:32:18","2022-03-22 19:32:18","2022-03-22 19:32:18","","","","","","","","","","","","","","en","","Tweet","","","","","","","; C:\Users\bhjon\Zotero\storage\F62C9IRF\1504843418450673700.html","https://t.co/lGtW8NjZ62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M3M2XNVD","blogPost","2022","Greg Abbott","One necessity of Operation Lone Star has been the seizure of almost 300 million deadly doses of fentanyl. Biden won't secure the border, so Texas is having to step up. Without our efforts, even more Texans would have died from fentanyl. https://t.co/FaVorJM6Y8","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1505598607113732099","","2022-03-20","2022-03-22 19:34:30","2022-03-22 19:34:30","2022-03-22 19:34:30","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/FaVorJM6Y8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGXHSMSG","blogPost","2021","Greg Abbott","Texas National Guard Soldiers deploy tactical vehicles to the border in support of Operation Lone Star. As Biden does nothing, the Lone Star State continues to surge manpower & equipment to put an end to the chaos at our southern border. https://t.co/IrDH8fN3AO","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1441062106128805888","","2021-09-23","2022-03-22 19:35:17","2022-03-22 19:35:17","2022-03-22 19:35:17","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/IrDH8fN3AO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPXC5225","blogPost","2021","Greg Abbott","Texas Dept. of Public Safety chase down & arrest suspected human smuggler. Operation Lone Star is stopping the influx of drug & human smugglers coming into TX due to Biden's policies. Thank you to the brave @TxDPS troopers for risking your lives to keep our communities safe. https://t.co/f7zHux36ff","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1451652653910462473","","2021-10-22","2022-03-22 19:37:20","2022-03-22 19:37:20","2022-03-22 19:37:20","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/f7zHux36ff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMSS6LAK","blogPost","2021","Greg Abbott","Tune in LIVE: Texas Department of Public Safety and Texas Military Department to hold a briefing on Operation Lone Star and Texas' efforts to secure the border. WATCH⬇️ https://t.co/nQ7a43zV8Y","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1443592638746271747","","2021-09-30","2022-03-22 19:37:31","2022-03-22 19:37:31","2022-03-22 19:37:31","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/nQ7a43zV8Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXLITQJR","blogPost","2021","Greg Abbott","Texas National Guard Soldiers identify & apprehend illegal immigrants on land and in water crossing into Texas from Mexico. Through Operation Lone Star, the State of Texas is working night and day to combat Biden’s border crisis & secure our border. https://t.co/3wa6bgDsQQ","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1443325316282437632","","2021-09-29","2022-03-22 19:37:41","2022-03-22 19:37:41","2022-03-22 19:37:41","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/3wa6bgDsQQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3G2DUKT","blogPost","2021","Greg Abbott","Today, the Texas Department of Public Safety and Texas Military Department will hold their first media briefing to discuss the progress of Operation Lone Star. More on the briefing and what Texas is doing to secure the border ⬇️","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1438504814271369228","","2021-09-16","2022-03-22 19:37:59","2022-03-22 19:37:59","2022-03-22 19:37:59","","","","","","","","","","","","","","en","","Tweet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"265IU4K3","blogPost","2021","Greg Abbott","Texas National Guard seized methamphetamine after apprehending a group of illegal immigrants. Operation Lone Star has led to more than 8,000 lbs of cocaine & meth being seized. Texas is cracking down on the influx of illegal drug smuggling caused by Biden’s border crisis. https://t.co/oFz5jNpMWh","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1436019892331892742","","2021-09-09","2022-03-22 19:38:09","2022-03-22 19:38:09","2022-03-22 19:38:09","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/oFz5jNpMWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XKZ66PB","blogPost","2021","Greg Abbott","‘Operation Lone Star Nets 5K Criminal Arrests, 1500 Firearms near Texas Border’ Texas DPS, Texas National Guard & local law enforcement have stepped up in a major way to secure the southern border. Thank you for working night & day to make Texas safer. https://t.co/k1c9CMCbe5","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1435969141115129857","","2021-09-09","2022-03-22 19:38:17","2022-03-22 19:38:17","2022-03-22 19:38:17","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/k1c9CMCbe5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y9KN2DKD","blogPost","2021","Greg Abbott","""Gov. Abbott launched Operation Lone Star because of the current administration's failure to secure the border."" - Lt. Olivarez Through Operation Lone Star, the Texas Department of Public Safety has seized hundreds of pounds of cocaine & fentanyl, with a street value of $2.2M. https://t.co/vq9Z8Fvv01","@GregAbbott_TX","","","","https://twitter.com/GregAbbott_TX/status/1435601501725073411","","2021-09-08","2022-03-22 19:38:27","2022-03-22 19:38:27","2022-03-22 19:38:27","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/vq9Z8Fvv01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
