"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IXAX4MXC","blogPost","2022","Texas Military Dept.","Members of the #OperationLoneStar Elite Brush Teams arrest suspected criminals trespassing on private property near the Texas-Mexico border. The teams are composed of Texas Guard members & @TxDPS law enforcement personnel. https://t.co/oiAOCbGARO","@TXMilitary","","","","https://twitter.com/TXMilitary/status/1508884207656968199","","2022-03-29","2022-03-30 16:11:13","2022-03-30 16:11:13","2022-03-30 16:11:13","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/oiAOCbGARO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UV9GZRXS","forumPost","2022","Texas Military Dept. [@TXMilitary]","The Texas Guard continues to work with the @TxDPS and other partner agencies along the southern border to apprehend criminals in support of #OperationLoneStar to protect Texas & the U.S. https://t.co/w2rxDPxdb7","Twitter","","","","https://twitter.com/TXMilitary/status/1509621827047460869","","2022-03-31","2022-04-03 12:11:28","2022-04-03 12:11:28","2022-04-03 12:11:28","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/w2rxDPxdb7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRB8UTL4","forumPost","2022","Texas Military Dept. [@TXMilitary]","#Texas #NationalGuard Members Mobilized in Support of Winter Weather Response. @TXMilitary Takes Steps to Ensure Safety of Service Members Deployed in Support of #OperationLoneStar Ahead of Winter Storm. #TexansServingTexas More: https://tmd.texas.gov/texas-national-guard-members-mobilized-in-support-of-winter-weather-response https://t.co/EXBeTrxLCW","Twitter","","","","https://twitter.com/TXMilitary/status/1489308746102759428","","2022-02-03","2022-04-03 12:14:02","2022-04-03 12:14:02","2022-04-03 12:14:02","","","","","","","","","","","","","","en","","Tweet","","","","","","","; ","https://tmd.texas.gov/texas-national-guard-members-mobilized-in-support-of-winter-weather-response; https://t.co/EXBeTrxLCW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNKJALZ9","forumPost","2022","Texas Military Dept. [@TXMilitary]","Why We’re Here – #OperationLoneStar ""We're trying to curtail the criminal activity,” said @TxDPS Sgt. Juan Maldonado. “I get to help people, and you get paid good to do it,"" said an Army Guard Spc. ""It’s amazing...probably one of the best jobs I’ve ever had."" #TexansServingTexas https://t.co/fgZrFzuXbQ","Twitter","","","","https://twitter.com/TXMilitary/status/1485414546089066510","","2022-01-24","2022-04-03 12:14:14","2022-04-03 12:14:14","2022-04-03 12:14:14","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/fgZrFzuXbQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VPYTC8M5","forumPost","2022","Texas Military Dept. [@TXMilitary]","Working side-by-side with the @TxDPS on #OperationLoneStar, Texas Guard members recently interdicted & arrested drug smugglers attempting to smuggle 265 pounds of drugs across the Texas-Mexico border. https://t.co/UpApTxuWFu","Twitter","","","","https://twitter.com/TXMilitary/status/1508526115975045134","","2022-03-28","2022-04-03 12:14:21","2022-04-03 12:14:21","2022-04-03 12:14:21","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/UpApTxuWFu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N47LBNEJ","forumPost","2021","Texas Military Dept. [@TXMilitary]","Texas Guardsmen are serving as eyes-and-ears along the Texas-Mexico border in support of #OperationLoneStar. Their continued observations are designed to deter and repel criminal activity, and bring to security to our border communities. #TexansServingTexas https://t.co/66UI7FPr7P","Twitter","","","","https://twitter.com/TXMilitary/status/1472241260413038596","","2021-12-18","2022-04-03 12:14:44","2022-04-03 12:14:44","2022-04-03 12:14:44","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/66UI7FPr7P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWYEVHSD","forumPost","2022","Texas Military Dept. [@TXMilitary]","The #Texas Guard continues to provide critical support for @TxDPS and #OperationLoneStar, which was launched by @GovAbbott last year. Our Soldiers and Airmen are on-duty to add eyes-and-ears to increase security along the Texas-Mexico border. #TexansServingTexas #BorderSecurity https://t.co/IXCUioqeCm","Twitter","","","","https://twitter.com/TXMilitary/status/1483496235768201227","","2022-01-18","2022-04-03 12:14:59","2022-04-03 12:14:59","2022-04-03 12:14:59","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/IXCUioqeCm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YD23PIBI","forumPost","2021","Texas Military Dept. [@TXMilitary]","We have members surging to the Texas-Mexico border in support of @GovAbbott’s #OperationLoneStar. They are helping safeguard #Texas alongside @TxDPS. Missions include: fence construction, repelling transnational criminal activity, and countering smuggling and human trafficking. https://t.co/F9pqewntmO","Twitter","","","","https://twitter.com/TXMilitary/status/1445439291627343878","","2021-10-05","2022-04-03 12:15:05","2022-04-03 12:15:05","2022-04-03 12:15:05","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/F9pqewntmO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z36APTSU","forumPost","2021","Texas Military Dept. [@TXMilitary]","From your Texas Guardsmen serving in support of #OperationLoneStar. We hope you and your loved ones are having a wonderful holiday season! https://t.co/oua5g5arOE","Twitter","","","","https://twitter.com/TXMilitary/status/1474890092640673794","","2021-12-25","2022-04-03 12:15:19","2022-04-03 12:15:19","2022-04-03 12:15:19","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/oua5g5arOE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4T4AACAB","forumPost","2021","Texas Military Dept. [@TXMilitary]","We are looking for volunteers in the Texas Military Department to support #OperationLoneStar. Help us stop human trafficking, smuggling, and illegal border crossings while we are #securingtexas Click here for more information https://bit.ly/2TZqp7e https://t.co/9teoVqIvcH","Twitter","","","","https://twitter.com/TXMilitary/status/1428037450518106112","","2021-08-18","2022-04-03 12:15:28","2022-04-03 12:15:28","2022-04-03 12:15:28","","","","","","","","","","","","","","en","","Tweet","","","","","","","; ","https://bit.ly/2TZqp7e; https://t.co/9teoVqIvcH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8V5SBZ3","forumPost","2021","Texas Military Dept. [@TXMilitary]","On Friday, Brig. Gen. Monie Ulis, Texas Military Department Border Commander, and Command Sgt. Maj. Michelle Thompson, the incoming Texas Army National Guard Senior Enlisted Advisor, met with Soldiers and Airmen serving in support of #OperationLoneStar. #TexansServingTexas https://t.co/H2Jli0ifl1","Twitter","","","","https://twitter.com/TXMilitary/status/1475124265749991429","","2021-12-26","2022-04-03 12:15:38","2022-04-03 12:15:38","2022-04-03 12:15:38","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/H2Jli0ifl1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9PCCN8G","forumPost","2021","Texas Military Dept. [@TXMilitary]","Members of the Texas Guard continue to serve side-by-side with @TxDPS counterparts as part of #OperationLoneStar. This State Active Duty mission was ordered by @GovAbbott @GregAbbott_TX to deter and repel criminal activity along the Texas-Mexico border. #TexansServingTexas https://t.co/LlQUmFEC0J","Twitter","","","","https://twitter.com/TXMilitary/status/1471601547880681472","","2021-12-16","2022-04-03 12:15:47","2022-04-03 12:15:47","2022-04-03 12:15:47","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/LlQUmFEC0J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNJCH6Z7","forumPost","2022","Texas Military Dept. [@TXMilitary]","Members of the Texas Guard and TXDPS #OperationLoneStar Elite Brush Teams continue to make arrests of migrants trespassing on ranches across South Texas. Over the last 90 days, the teams have supported more than 1,000 apprehensions on ranches along the Texas-Mexico border. https://t.co/Pp9N28rU4g","Twitter","","","","https://twitter.com/TXMilitary/status/1504588742094376972","","2022-03-17","2022-04-03 12:15:55","2022-04-03 12:15:55","2022-04-03 12:15:55","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/Pp9N28rU4g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9IMCZ5VY","forumPost","2022","Texas Military Dept. [@TXMilitary]","Yesterday, service members on #OperationLoneStar begin moving into new dormitory housing on Camp Walker (Laredo). ""It has enough space for four bunks and a wall locker (per room), and it's going to be pretty spacious,"" said Mayor Cell OIC. ""This is the standard going forward."" https://t.co/titz8GBR5Y","Twitter","","","","https://twitter.com/TXMilitary/status/1496980004361674759","","2022-02-24","2022-04-03 12:16:05","2022-04-03 12:16:05","2022-04-03 12:16:05","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/titz8GBR5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
