"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Z59EA2HI","blogPost","2022","Texas DPS","Courtesy | Service | Protection Whether working at the border as part of Gov. @GregAbbott_TX's Operation Lone Star or patrolling the roadways over Spring Break, DPS Troopers are always working to protect their fellow Texans. https://t.co/rhUD6OUYDV","@TxDPS","","","","https://twitter.com/TxDPS/status/1504857662739173380","","2022-03-18","2022-03-22 19:46:33","2022-03-22 19:46:33","2022-03-22 19:46:33","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/rhUD6OUYDV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76XYVLK5","blogPost","2022","Texas DPS","As part of our mission under Gov. @GregAbbott_TX's Operation Lone Star, our marine team is a vital asset for DPS, as we work to apprehend smugglers and deter criminal activity to help secure our border. #OperationLoneStar #BorderSecurity https://t.co/BHoBdxkfTh","@TxDPS","","","","https://twitter.com/TxDPS/status/1504527117018669059","","2022-03-17","2022-03-22 19:46:41","2022-03-22 19:46:41","2022-03-22 19:46:41","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/BHoBdxkfTh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMTPPZ7G","blogPost","2022","Texas DPS","DPS Aircraft play a vital role in supporting the mission of Gov. @GregAbbott_TX's Operation Lone Star. Our aircraft are the eyes in the sky for our Troopers & law enforcement partners on the ground, playing a vital role in navigating what can often be rural and arduous terrain. https://t.co/L5DqZQhAr2","@TxDPS","","","","https://twitter.com/TxDPS/status/1504206181077856264","","2022-03-16","2022-03-22 19:46:51","2022-03-22 19:46:51","2022-03-22 19:46:51","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/L5DqZQhAr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6HG3X6B","blogPost","2022","Texas DPS","DPS continues to step up to the plate as part of the mission under Gov. @GregAbbott_TX's Operation Lone Star. DPS & our partners are stopping illegal drugs and criminals from entering the state. Our goal is simple; we are working diligently to ensure the safety of TX communities. https://t.co/xo48ysLj4S","@TxDPS","","","","https://twitter.com/TxDPS/status/1503843059020308491","","2022-03-15","2022-03-22 19:47:01","2022-03-22 19:47:01","2022-03-22 19:47:01","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/xo48ysLj4S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4J99ME53","blogPost","2022","Texas DPS","ICYMI: DPS & TMD Stop Large Migrant Groups in Jim Hogg Co. AUSTIN – Large groups of illegal immigrants were recently stopped in Jim Hogg Co. as a result of DPS and @TXMilitary working together as part of Operation Lone Star’s Elite Brush Team. Watch at https://bit.ly/367jQoU. https://t.co/1q6fb45l3U","@TxDPS","","","","https://twitter.com/TxDPS/status/1501667193246953472","","2022-03-09","2022-03-22 19:47:11","2022-03-22 19:47:11","2022-03-22 19:47:11","","","","","","","","","","","","","","en","","Tweet","","","","","","","; ","https://bit.ly/367jQoU; https://t.co/1q6fb45l3U","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WK3MSDFP","blogPost","2022","Texas DPS","Courtesy | Service | Protection Every day, our Troopers are working to secure the border as part of Operation Lone Star. Their work is protecting Texas communities by combating the smuggling of people and drugs into Texas. https://t.co/embBnhaZVO","@TxDPS","","","","https://twitter.com/TxDPS/status/1501597225570426880","","2022-03-09","2022-03-22 19:47:22","2022-03-22 19:47:22","2022-03-22 19:47:22","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/embBnhaZVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NV3LDNCR","blogPost","2022","Texas DPS","Today, March 4, marks the one-year anniversary of Gov. Greg Abbott's Operation Lone Star — a critical mission to secure the border. Every day, DPS is working alongside our partners to apprehend criminals and combat the smuggling of drugs and people into Texas. #ProtectandServe","@TxDPS","","","","https://twitter.com/TxDPS/status/1499790026099597315","","2022-03-04","2022-03-22 19:47:29","2022-03-22 19:47:29","2022-03-22 19:47:29","","","","","","","","","","","","","","en","","Tweet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F88XBGQB","blogPost","2022","Texas DPS","Keeping deadly drugs off the streets is a key part of our mission under Operation Lone Star — and our work is yielding results. DPS has seized 1,188 lbs. of fentanyl; that means DPS has stopped 269+ million lethal doses of fentanyl from being distributed. https://t.co/3PohESkUlY","@TxDPS","","","","https://twitter.com/TxDPS/status/1499768695215824901","","2022-03-04","2022-03-22 19:47:55","2022-03-22 19:47:55","2022-03-22 19:47:55","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/3PohESkUlY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEDWZDR7","blogPost","2022","Texas DPS","Since Operation Lone Star began in March 2021, DPS has made 11,670 criminal arrests, including more than 2,900 for criminal trespassing. There have also been 9,321 felony charges filed. #OperationLoneStar #OneYearAnniversary https://t.co/qSzDKb8xJW","@TxDPS","","","","https://twitter.com/TxDPS/status/1499520520559251460","","2022-03-03","2022-03-22 19:48:02","2022-03-22 19:48:02","2022-03-22 19:48:02","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/qSzDKb8xJW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2V3WK4Q","blogPost","2022","Texas DPS","Gov. @GregAbbott_TX's Operation Lone Star is delivering results to prevent, detect and interdict transnational criminal activity — including human smuggling — between the ports of entry along the Texas/Mexico border. https://t.co/i6MdsAzwJK","@TxDPS","","","","https://twitter.com/TxDPS/status/1499520507452010497","","2022-03-03","2022-03-22 19:48:16","2022-03-22 19:48:16","2022-03-22 19:48:16","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/i6MdsAzwJK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QYKK8YD2","blogPost","2022","Texas DPS","Protect and Serve. As we look back on some of the key moments in Operation Lone Star’s history, September 2021 stands out. In particular, September brought a surge of migrants to the International Bridge in Del Rio, with thousands arriving and gathering at the bridge daily. https://t.co/dqJ8nSga48","@TxDPS","","","","https://twitter.com/TxDPS/status/1499411590847909897","","2022-03-03","2022-03-22 19:48:22","2022-03-22 19:48:22","2022-03-22 19:48:22","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/dqJ8nSga48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3A29HR2","blogPost","2022","Texas DPS","#OperationLoneStar is working hard to protect the people of Texas and the communities they call home. Since Gov. @GregAbbott_TX launched Operation Lone Star & directed DPS to secure the border, DPS has made more than 92,500 migrant apprehensions and referrals. #OneYearAnniversary https://t.co/uBq9Uf5lkx","@TxDPS","","","","https://twitter.com/TxDPS/status/1499202901444595714","","2022-03-03","2022-03-22 19:48:51","2022-03-22 19:48:51","2022-03-22 19:48:51","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/uBq9Uf5lkx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIQCZCQ3","blogPost","2022","Texas DPS","Operation Lone Star is a collaborative effort between DPS, local law enforcement and our partners at @TXMilitary to secure our border. This mission is driven by Gov. @GregAbbott_TX, with the goal of safeguarding Texas by stopping the smuggling of people and drugs into Texas. https://t.co/r8lWJLJNaR","@TxDPS","","","","https://twitter.com/TxDPS/status/1496534355895795714","","2022-02-23","2022-03-22 19:49:08","2022-03-22 19:49:08","2022-03-22 19:49:08","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://t.co/r8lWJLJNaR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WRPA6WZ","blogPost","2022","Texas DPS","WATCH LIVE: Governor @GregAbbott_TX Speaking Now, Discussing Topics Including Operation Lone Star Tune in at https://ketk.com/news/politics/texas-politics/watch-live-gov-greg-abbott-discusses-illegal-immigration-related-crime/.","@TxDPS","","","","https://twitter.com/TxDPS/status/1494767406174060548","","2022-02-18","2022-03-22 19:49:19","2022-03-22 19:49:19","2022-03-22 19:49:19","","","","","","","","","","","","","","en","","Tweet","","","","","","","","https://ketk.com/news/politics/texas-politics/watch-live-gov-greg-abbott-discusses-illegal-immigration-related-crime/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
